machine_category,category_data_note,name,abrasive_flow_rate_kg_min,annual_maintenance_factor_pct,avg_utilization,bed_height_mm,bed_length_mm,bed_width_mm,bend_cycle_time_s,const_coeff_cycle_time,const_coeff_handling_time,csink_tool_avg_cost_usd,cut_speed_s,data_source,de_nesting_method,description,direct_overhead_rate_usd_hr,footprint_allowance_factor,form_tool_avg_cost_usd,good_part_yield,indirect_overhead_rate_usd_hr,installation_factor_pct,is_preferred,labor_rate_usd_hr,labor_time_standard,machine_length_mm,machine_life_yr,machine_manufacturer_location,machine_power_kw,machine_price_usd,machine_uptime_pct,machine_width_mm,mass_coeff_cycle_time,mass_coeff_handling_time_s_kg,max_bend_length_mm,max_form_depth_mm,max_multi_pass_thickness_mm,max_part_length_mm,max_part_width_mm,max_punch_size_mm,max_radius_to_thickness_ratio,max_rpm_rev_min,max_sheet_length_mm,max_sheet_width_mm,max_single_pass_thickness_mm,max_thickness_1_mm,max_thickness_2_mm,max_thickness_3_mm,max_thickness_4_mm,max_thickness_5_mm,max_thickness_aluminum_mm,max_thickness_brass_mm,max_thickness_copper_mm,max_thickness_stainless_steel_mm,max_thickness_steel_mm,max_tool_overlap_mm,min_multi_pass_diameter_mm,min_single_pass_diameter_mm,mixing_tube_diameter_mm,nibble_rate_cycles_min,nibble_tool_diameter_mm,nibble_tool_overlap_mm,nominal_sheet_size_length_mm,nominal_sheet_size_width_mm,note,nozzle_delay_s,number_of_heads,number_of_nozzles,number_of_operators,number_of_tool_stations,optimization_factor,orifice_diameter_mm,overhead_multiplier,paired_form_threshold_mm,perf_tool_avg_cost_usd,perforation_proximity_threshold_mm,perimeter_allowance_s_per_mm,pitch_margin_mm,power_watts,prebend_time_s,press_cycle_time_s,press_force_kn,press_table_length_mm,press_table_width_mm,pressure_n_mm2,punch_rate_cycles_min,rapid_traverse_rate_mm_min,reference_yield_strength_mpa,roll_width_mm,roll_working_length_mm,rolling_speed_mm_s,salvage_value_factor_pct,scrap_cuts_per_sheet,setup_time_hr,sheet_length_mm,sheet_length_trim_strip_mm,sheet_width_mm,sheet_width_trim_strip_mm,shut_height_mm,shuttle_time_s,side_margin_mm,small_feature_feed_radius_mm,small_feature_thickness_ratio,special_hole_tool_avg_cost_usd,special_tool_setup_hr,steel_thickness_mm,straight_length_1_mm,straight_length_2_mm,straight_length_3_mm,straight_length_4_mm,straight_length_5_mm,strokes_per_min,supplies_cost_usd_yr,tool_change_time_s,top_roll_diameter_mm,trim_strip_width_mm,wage_grade_name,weight_kg,work_center_labor_rate_factor
2-Axis Router,,"2 Axis Router - 18,000 RPM",,0.05,0.5,127.0,2438.4,1219.2,,,,,,the system Baseline,,2-Axis Router Machine,6.35,1.0,,1.0,14.6,0.2,TRUE,36.3,1.63,3020.0,10.0,Virtual,22.0,50000.0,0.8,2970.0,,,,,,,,,,18000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,15000.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
2-Axis Router,,"2 Axis Router - 20,000 RPM",,0.05,0.5,177.0,3073.0,2032.0,,,,,,the system Baseline,,2-Axis Router Machine,6.66,1.0,,1.0,14.65,0.2,TRUE,36.3,1.63,4508.0,10.0,Virtual,14.0,75445.0,0.8,2108.0,,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,48260.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
2-Axis Router,,"2 Axis Router - 24,000 RPM",,0.05,0.5,350.0,7700.0,1600.0,,,,,,the system Baseline,,2-Axis Router Machine,15.23,1.0,,1.0,16.99,0.2,TRUE,36.3,1.63,9840.0,10.0,Virtual,13.5,217886.0,0.8,3750.0,,,,,,,,,,24000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,141000.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
2-Axis Router,,Multicam 103,,0.05,0.5,127.0,2438.4,1219.2,,,,,,the system Baseline,,2-Axis Router Machine,5.42,1.0,,1.0,14.51,0.2,FALSE,36.3,1.63,3835.0,10.0,USA,9.9,64776.0,0.8,2057.0,,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,48250.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
2-Axis Router,,Multicam 204,,0.05,0.5,127.0,3048.0,1524.0,,,,,,the system Baseline,,2-Axis Router Machine,5.93,1.0,,1.0,14.74,0.2,FALSE,36.3,1.63,4508.0,10.0,USA,11.18,69995.0,0.8,2362.0,,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,48250.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
2-Axis Router,,Multicam 304,,0.05,0.5,127.0,3073.0,2032.0,,,,,,the system Baseline,,2-Axis Router Machine,6.66,1.0,,1.0,14.65,0.2,FALSE,36.3,1.63,4508.0,10.0,USA,14.0,75445.0,0.8,2108.0,,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,48250.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
2-Axis Router,,Stratos Pro,,0.05,0.5,350.0,3700.0,1600.0,,,,,,the system Baseline,,2-Axis Router Machine,11.42,1.0,,1.0,15.96,0.2,FALSE,36.3,1.63,7000.0,10.0,USA,13.5,155000.0,0.8,3550.0,,,,,,,,,,24000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,141000.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
2-Axis Router,,Stratos Pro 24,,0.05,0.5,350.0,7700.0,1600.0,,,,,,the system Baseline,,2-Axis Router Machine,15.23,1.0,,1.0,16.99,0.2,FALSE,36.3,1.63,9840.0,10.0,USA,13.5,217886.0,0.8,3750.0,,,,,,,,,,24000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,141000.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
2-Axis Router,,Stratos Pro XL,,0.05,0.5,350.0,3700.0,2100.0,,,,,,the system Baseline,,2-Axis Router Machine,13.9,1.0,,1.0,16.38,0.2,FALSE,36.3,1.63,7000.0,10.0,USA,13.5,195978.0,0.8,4250.0,,,,,,,,,,24000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,141000.0,,,,,0.0,3.0,0.5,,,,,,18.0,,,,,,,,,,,,,0.0,,,,,,1.0
3 Roll Bender,,Faccin HCU 2050 X 5,,5.0,1.0,,,,,,,,,the system Baseline,,,6.32,5.0,,1.0,15.83,20.0,FALSE,43.21,1.0,3075.43,10,Italy,14.91,67256.0,80.0,1520.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,296.0,,2050.0,101.6,0.0,,0.5,,,,,,,,,,,,5.0,,,,,,,0.0,,380.0,,,,
